name	HexA	HexN	DP	Ac	S	formula	neutral_mass	floating_Na	floating_NH3
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2115.481514	0	3
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2132.508064	0	4
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2149.534613	0	5
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2166.561162	0	6
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2183.587711	0	7
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2200.614260	0	8
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2086.383811	1	0
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2103.410361	1	1
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2120.436910	1	2
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2137.463459	1	3
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2154.490008	1	4
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2171.516557	1	5
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2188.543106	1	6
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2205.569655	1	7
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2108.365756	2	0
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2125.392305	2	1
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2142.418854	2	2
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2159.445403	2	3
