name	HexA	HexN	DP	Ac	S	formula	neutral_mass	floating_NH3
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2423.458156	7
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2440.484705	8
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2457.511254	9
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2474.537803	10
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2491.564352	11
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2384.229127	0
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2401.255676	1
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2418.282226	2
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2435.308775	3
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2452.335324	4
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2469.361873	5
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2486.388422	6
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2503.414971	7
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2520.441520	8
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2537.468069	9
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2554.494618	10
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2571.521167	11
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2588.547717	12
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2464.185942	0
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2481.212491	1
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2498.239041	2
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2515.265590	3
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2532.292139	4
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2549.318688	5
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2566.345237	6
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2583.371786	7
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2600.398335	8
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2617.424884	9
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2634.451433	10
